lon,lat,dist_costa_km,r_droga,r_pesca,r_poluicao,r_imigracao,ais_embarcacoes,ais_rotas
-10.9,36.85,165.26661649465993,0.45341,0.0,0.03238,0.00028,0.06439,0.77761
-10.9,36.95,164.3020470998977,0.44371,0.0,0.02887,0.00033,0.05814,0.75837
-10.9,37.050000000000004,164.0786488985115,0.4311,1e-05,0.02636,0.00038,0.05201,0.73868
-10.9,37.150000000000006,164.59943972269474,0.41588,1e-05,0.02729,0.00044,0.04645,0.72389
-10.9,37.25000000000001,165.85740947937484,0.39837,2e-05,0.03338,0.00051,0.04178,0.71872
-10.9,37.35000000000001,167.83420203805377,0.37894,3e-05,0.04243,0.00057,0.03848,0.72239
-10.9,37.45000000000001,170.11553687760377,0.35799,4e-05,0.04789,0.00064,0.03678,0.72908
-10.9,37.55000000000001,172.3968717171539,0.33595,6e-05,0.04681,0.00071,0.03664,0.73396
-10.9,37.65000000000001,167.63645242969082,0.31324,9e-05,0.04385,0.00078,0.03806,0.73666
-10.9,37.750000000000014,160.25327299922427,0.29025,0.00017,0.04412,0.00084,0.04041,0.73958
-10.9,37.850000000000016,153.31267077523634,0.26736,0.00034,0.0476,0.00088,0.04255,0.74445
-10.9,37.95000000000002,146.8774003140985,0.24487,0.00081,0.04958,0.0009,0.04463,0.75113
-10.9,38.05000000000002,141.016660772194,0.22303,0.0021,0.04603,0.0009,0.04857,0.75894
-10.9,38.15000000000002,135.80485520470913,0.20204,0.0061,0.03988,0.00087,0.05489,0.76826
-10.9,38.25000000000002,131.3192711239447,0.18201,0.01839,0.03757,0.00082,0.06125,0.77976
-10.9,38.35000000000002,127.63649724665788,0.16301,0.05033,0.04135,0.00075,0.06613,0.79219
-10.9,38.450000000000024,124.82760944513892,0.14506,0.11285,0.04864,0.00066,0.0708,0.80223
-10.9,38.550000000000026,122.95251489782639,0.12819,0.19955,0.05651,0.00057,0.07589,0.80709
-10.9,38.65000000000003,122.05425821794292,0.11241,0.2818,0.06388,0.00047,0.07923,0.80659
-10.9,38.75000000000003,122.15439070325866,0.09773,0.32181,0.0688,0.00038,0.07884,0.80269
-10.9,38.85000000000003,123.2504790114686,0.08419,0.29693,0.06774,0.0003,0.07574,0.79785
-10.9,38.95000000000003,125.31639228188997,0.07183,0.21544,0.06263,0.00023,0.07278,0.79403
-10.9,39.05000000000003,128.3052920267152,0.0607,0.12278,0.06022,0.00016,0.07231,0.79237
-10.9,39.150000000000034,132.15456836255314,0.0508,0.05846,0.06233,0.00012,0.07438,0.79307
-10.9,39.250000000000036,136.79160831587913,0.04215,0.02745,0.06438,8e-05,0.07675,0.79568
-10.9,39.35000000000004,141.81711515615496,0.0347,0.01551,0.0635,5e-05,0.07767,0.79982
-10.9,39.45000000000004,146.39968683008527,0.02837,0.01131,0.06209,3e-05,0.07763,0.80524
-10.9,39.55000000000004,150.9822585040152,0.02307,0.01087,0.06184,2e-05,0.07755,0.81154
-10.9,39.65000000000004,155.5648301779455,0.01868,0.01403,0.06164,1e-05,0.07778,0.81801
-10.9,39.75000000000004,160.14740185187546,0.01507,0.02039,0.06275,1e-05,0.07898,0.82415
-10.9,39.850000000000044,164.72997352580575,0.01211,0.02704,0.06585,0.0,0.08126,0.83013
-10.9,39.950000000000045,169.3125451997357,0.00971,0.0299,0.06896,0.0,0.08359,0.83664
-10.9,40.05000000000005,173.29223099786978,0.00775,0.02684,0.07357,0.0,0.08581,0.8442
-10.9,40.15000000000005,174.38016428664565,0.00617,0.01946,0.08069,0.0,0.08922,0.85245
-10.9,40.25000000000005,175.46809757542158,0.0049,0.01192,0.08752,0.0,0.09417,0.86034
-10.9,40.35000000000005,176.62036398422612,0.00389,0.00748,0.09167,0.0,0.09872,0.86674
-10.9,40.45000000000005,178.33853173891026,0.00309,0.00755,0.09112,0.0,0.10075,0.87097
-10.9,40.550000000000054,180.32179555768735,0.00246,0.01424,0.08664,0.0,0.10003,0.87319
-10.9,40.650000000000055,182.30505937646458,0.00198,0.03094,0.08162,0.0,0.09716,0.87389
-10.9,40.75000000000006,184.28832319524167,0.0016,0.05868,0.07554,0.0,0.09221,0.87312
-10.9,40.85000000000006,186.2715870140189,0.00132,0.09046,0.06744,0.0,0.0854,0.87041
-10.9,40.95000000000006,188.07542202391767,0.00109,0.11055,0.05981,0.0,0.07812,0.86567
-10.9,41.05000000000006,186.73363955651135,0.00092,0.10497,0.05444,0.0,0.07235,0.85993
-10.9,41.15000000000006,185.03606101508862,0.00077,0.07732,0.05262,0.0,0.06854,0.85494
-10.9,41.250000000000064,183.4400818641698,0.00065,0.04568,0.05579,0.0,0.06527,0.8518
-10.9,41.350000000000065,182.43756562192306,0.00054,0.02275,0.06071,0.0,0.06187,0.85063
-10.9,41.45000000000007,179.61999197189738,0.00045,0.01017,0.06079,0.0,0.05894,0.85106
-10.9,41.55000000000007,177.0835181906003,0.00036,0.00438,0.05535,0.0,0.05646,0.85269
-10.9,41.65000000000007,175.20940472205478,0.00029,0.00184,0.0502,0.0,0.05415,0.85515
-10.9,41.75000000000007,174.0190529248822,0.00022,0.00071,0.04947,0.0,0.0529,0.85812
-10.9,41.85000000000007,173.52653470927478,0.00017,0.00023,0.05274,0.0,0.05361,0.86123
-10.9,41.950000000000074,173.7377849089407,0.00012,6e-05,0.05702,0.0,0.0559,0.86399
-10.9,42.050000000000075,174.65024978923313,9e-05,1e-05,0.05889,0.0,0.05849,0.86609
-10.9,42.15000000000008,176.25303908681335,6e-05,0.0,0.05791,0.0,0.06053,0.8675
-10.8,36.85,156.74282453815323,0.48096,1e-05,0.03823,0.00049,0.06284,0.77568
-10.8,36.95,155.72546740280566,0.47068,2e-05,0.03468,0.00057,0.05708,0.75869
-10.8,37.050000000000004,155.48974738215475,0.45735,4e-05,0.03153,0.00066,0.05193,0.74134
-10.8,37.150000000000006,156.0392068476071,0.44124,7e-05,0.03103,0.00076,0.04778,0.7284
-10.8,37.25000000000001,157.3656213911231,0.42274,0.0001,0.03506,0.00086,0.04449,0.72419
-10.8,37.35000000000001,159.42928420813269,0.40224,0.00012,0.04192,0.00097,0.04209,0.72828
-10.8,37.45000000000001,161.71061904768266,0.38019,0.00016,0.04694,0.00108,0.04084,0.73557
-10.8,37.55000000000001,163.9919538872328,0.35705,0.00024,0.04875,0.00118,0.04106,0.74132
-10.8,37.65000000000001,161.49401152138964,0.33327,0.00037,0.05048,0.00129,0.04295,0.74448
-10.8,37.750000000000014,153.81627703537305,0.30929,0.00058,0.05413,0.00137,0.04567,0.74679
-10.8,37.850000000000016,146.57117927578648,0.2855,0.00105,0.05868,0.00144,0.04764,0.75017
-10.8,37.95000000000002,139.82598577191106,0.2622,0.00208,0.06083,0.00147,0.04871,0.75535
-10.8,38.05000000000002,133.65640347322972,0.23964,0.00409,0.05746,0.00146,0.05091,0.76245
-10.8,38.15000000000002,128.14559793933907,0.21798,0.00795,0.05123,0.00141,0.05575,0.77193
-10.8,38.25000000000002,123.38187282815426,0.1973,0.01676,0.04864,0.00133,0.06244,0.78399
-10.8,38.35000000000002,119.45463994108741,0.17761,0.03717,0.05274,0.00121,0.06986,0.79706
-10.8,38.450000000000024,116.4485622661219,0.15891,0.07533,0.06119,0.00107,0.07804,0.80791
